feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
Post1_Morph_Compacity,116,15.728989233461537,17.704628106406247,15.726982465,16.585598315,0.0010829986963688063,1.984687426747525e-09,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6378756988849605,0.004751043040815182,0.006759137540485887
Post1_Morph_Compactness1,116,0.03634802075,0.032927488656250004,0.035873995000000006,0.034016855,0.11165883572643799,0.00024689234747103764,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.7210643797471611,0.004751043040815182,0.006759137540485887
Post1_Morph_Compactness2,116,0.47530719596153853,0.39468986442187504,0.4572585355,0.4111410155,0.13282825113169044,0.04828126372172547,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.7389273111251152,0.004751043040815182,0.006759137540485887
Post1_Morph_SphericalDisproportion,116,1.2961438251153845,1.398652072421875,1.298014273,1.344837914,0.003207664406064054,1.163309040299454e-08,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6557458698624551,0.004751043040815182,0.006759137540485887
Post1_Morph_Sphericity,116,0.7760757611153847,0.72540617334375,0.7704076195,0.743584215,0.07559512944498646,3.205003774912215e-05,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.711589713721122,0.004751043040815182,0.006759137540485887
Post1_Morph_Asphericity,116,0.2961438251153847,0.398652072421875,0.298014273,0.34483791399999997,0.003207664406064127,1.1633090402994413e-08,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6557458698624544,0.004751043040815182,0.006759137540485887
Post2_Morph_Compacity,116,15.733224072692307,17.704628106406247,15.726982465,16.585598315,0.0011088525128623429,1.984687426747525e-09,False,Spearman,0.3390770633154792,0.0001965948844475248,Mann_Whitney_U,1009.0,0.00027968844995114014,0.63668153831502,0.004751043040815182,0.006759137540485887
Post2_Morph_Compactness1,116,0.03633646703846154,0.032927488656250004,0.035873995000000006,0.034016855,0.1165560838418218,0.00024689234747103764,False,Spearman,-0.3390770633154792,0.0001965948844475248,Mann_Whitney_U,2319.0,0.00027968844995114014,-0.719116059680125,0.004751043040815182,0.006759137540485887
Post2_Morph_Compactness2,116,0.47498507290384623,0.39468986442187504,0.4572585355,0.4111410155,0.13726865171881403,0.04828126372172547,False,Spearman,-0.3390770633154792,0.0001965948844475248,Mann_Whitney_U,2319.0,0.00027968844995114014,-0.7366281677708127,0.004751043040815182,0.006759137540485887
Post2_Morph_SphericalDisproportion,116,1.2963838939807693,1.398652072421875,1.298014273,1.344837914,0.0033029010888285517,1.163309040299454e-08,False,Spearman,0.3390770633154792,0.0001965948844475248,Mann_Whitney_U,1009.0,0.00027968844995114014,0.6544255152234266,0.004751043040815182,0.006759137540485887
